country	lday	fday	days	versions	downloads
HK	20260214	20190426	96	36	487
US	20260226	20190426	2397	41	36260
GB	20260224	20190426	457	37	739
CH	20260226	20190426	300	35	528
UA	20260203	20190427	46	20	62
ES	20260220	20190427	440	37	693
CA	20260219	20190427	368	37	637
RO	20260214	20190428	105	30	128
FR	20260216	20190428	288	37	440
LU	20260225	20190429	141	37	391
DE	20260226	20190429	568	37	1283
CO	20260214	20190429	108	28	134
PL	20260226	20190429	270	33	479
JP	20260216	20190429	759	37	1297
ID	20260226	20190430	102	24	111
IN	20260214	20190430	190	33	231
AT	20260225	20190501	291	37	421
IR	20251219	20190505	27	15	32
AR	20260215	20190506	39	18	42
IL	20260214	20190507	58	20	65
SC	20231121	20190509	2	2	2
NO	20260202	20190512	62	18	74
HN	20251012	20190513	16	13	26
RU	20260214	20190513	101	37	195
SY	20190514	20190514	1	1	1
EG	20251005	20190515	22	12	23
KR	20260226	20190516	430	37	880
IT	20260221	20190517	357	33	522
CL	20260213	20190518	67	25	77
HU	20260224	20190519	113	28	173
BR	20260223	20190520	186	36	290
CN	20260224	20190520	544	36	1157
SN	20260210	20190523	6	6	6
CZ	20260224	20190526	57	24	77
TW	20251204	20190526	155	29	181
BE	20260225	20190527	113	29	166
DK	20260224	20190528	101	25	195
JO	20260204	20190528	50	20	61
FI	20260223	20190529	95	26	113
ZA	20260215	20190601	103	30	116
AU	20260207	20190601	88	36	135
NL	20260222	20190606	136	37	282
PT	20260226	20190607	42	19	59
TH	20250910	20190613	29	17	30
MX	20260226	20190614	52	22	54
VE	20260212	20190617	12	9	13
MY	20260215	20190624	25	17	26
BD	20250920	20190625	7	6	8
KE	20251121	20190629	52	21	54
PE	20260218	20190702	17	12	18
CR	20250926	20190707	29	17	37
VN	20260213	20190715	45	24	50
ZM	20211102	20190716	4	3	4
ML	20210922	20190729	2	2	2
NZ	20250911	20190730	20	12	30
BY	20260204	20190730	26	18	35
TR	20260214	20190805	89	25	109
ET	20240601	20190806	9	6	10
GR	20260222	20190815	92	25	115
SE	20260226	20190817	88	25	100
IE	20260204	20190904	25	26	47
BF	20231005	20190906	6	5	6
SG	20250619	20190916	36	16	39
MO	20190919	20190919	1	1	1
PR	20241123	20190919	4	4	4
TN	20260220	20191005	13	9	15
SK	20260216	20191009	51	16	56
UY	20250809	20191010	10	8	11
BG	20260206	20191013	23	17	27
LB	20250810	20191022	5	5	6
EU	20251218	20191024	46	17	49
GA	20191105	20191027	2	1	2
MG	20231211	20191112	4	4	4
PK	20251211	20191114	13	11	13
NI	20191222	20191222	1	1	1
HR	20260130	20200123	28	10	44
CM	20250623	20200127	4	3	4
LA	20200205	20200205	1	1	1
EC	20260215	20200205	13	10	14
MA	20260215	20200211	12	10	17
MU	20230824	20200214	4	4	4
LV	20251113	20200220	10	8	11
QA	20210829	20200223	2	2	2
TT	20220304	20200228	19	9	26
AP	20240502	20200304	3	3	3
ZW	20250714	20200306	7	7	7
MZ	20230105	20200312	7	5	7
CY	20251019	20200324	7	4	7
AE	20250629	20200402	17	9	22
CU	20240307	20200408	6	32	66
PH	20260219	20200415	33	13	35
PS	20251119	20200428	8	2	9
TZ	20260127	20200429	10	7	10
MN	20250730	20200520	2	2	2
AO	20221216	20200617	2	2	2
BJ	20260207	20200618	4	4	4
GT	20240925	20200718	4	4	4
A2	20200924	20200826	3	2	3
EE	20251121	20200904	43	18	97
MT	20250821	20200915	9	8	9
NP	20260129	20201001	6	5	8
SV	20250924	20201001	4	4	4
IQ	20250923	20201004	20	9	23
OM	20201014	20201014	1	1	1
SA	20260219	20201022	13	8	13
NE	20201106	20201106	1	1	1
SI	20260216	20201117	14	6	16
MD	20251104	20201117	8	6	14
BA	20260129	20201117	2	2	2
RS	20210720	20201117	3	21	24
PY	20250808	20201118	3	3	3
LT	20251029	20201130	23	12	26
PA	20260201	20210106	15	10	16
GH	20241011	20210108	4	4	4
NR	20210421	20210421	1	1	1
CI	20251117	20210429	7	7	7
GP	20250515	20210505	4	4	4
GE	20260116	20210602	10	2	16
BH	20210720	20210720	1	1	1
BS	20210811	20210811	1	1	1
DZ	20250424	20220316	6	5	6
CW	20250811	20220331	4	4	4
SZ	20220427	20220427	1	1	1
GN	20220523	20220523	1	1	1
CG	20220620	20220620	1	1	1
MK	20251021	20220624	7	4	8
NG	20250419	20220801	2	2	2
RW	20230201	20230201	1	1	1
BB	20230404	20230226	2	2	2
IS	20260211	20230311	2	2	2
AL	20260129	20230312	3	2	6
KZ	20250326	20230408	2	2	2
RE	20240418	20231028	2	2	2
MW	20231215	20231215	1	1	1
ST	20240422	20240422	1	1	1
UG	20260210	20240923	3	3	3
SD	20250304	20250304	1	1	1
SM	20250401	20250401	1	1	1
LR	20250406	20250406	1	1	1
AZ	20250527	20250527	1	1	1
KW	20250803	20250803	1	1	1
BM	20250805	20250805	1	1	1
UZ	20250920	20250805	3	2	3
JM	20250916	20250807	2	2	2
A1	20250811	20250811	1	1	1
DO	20260214	20250912	2	2	2
MV	20251009	20251009	1	1	1
