country	lday	fday	days	versions	downloads
HK	20260205	20190426	95	36	486
US	20260211	20190426	2382	41	36119
GB	20260211	20190426	450	37	722
CH	20260208	20190426	292	35	517
UA	20260203	20190427	46	20	62
ES	20260211	20190427	437	37	690
CA	20260121	20190427	365	36	634
RO	20260108	20190428	104	30	127
FR	20260204	20190428	285	37	436
LU	20260211	20190429	135	31	314
DE	20260211	20190429	562	37	1274
CO	20251128	20190429	107	27	133
PL	20260204	20190429	267	33	460
JP	20260211	20190429	755	37	1291
ID	20251024	20190430	99	23	108
IN	20260205	20190430	188	33	229
AT	20260210	20190501	288	37	418
IR	20251219	20190505	27	15	32
AR	20251023	20190506	38	18	41
IL	20251210	20190507	57	19	64
SC	20231121	20190509	2	2	2
NO	20260202	20190512	62	18	74
HN	20251012	20190513	16	13	26
RU	20260201	20190513	98	35	191
SY	20190514	20190514	1	1	1
EG	20251005	20190515	22	12	23
KR	20260209	20190516	427	37	795
IT	20260210	20190517	354	33	519
CL	20251015	20190518	66	24	76
HU	20260209	20190519	112	28	172
BR	20260115	20190520	181	35	283
CN	20260210	20190520	540	35	1147
SN	20260210	20190523	6	6	6
CZ	20260205	20190526	56	24	76
TW	20251204	20190526	155	29	181
BE	20260210	20190527	112	29	165
DK	20260205	20190528	98	25	192
JO	20260204	20190528	50	20	61
FI	20260209	20190529	93	26	111
ZA	20260209	20190601	101	29	113
AU	20260207	20190601	88	36	135
NL	20260210	20190606	133	37	278
PT	20250522	20190607	40	18	57
TH	20250910	20190613	29	17	30
MX	20260206	20190614	50	21	52
VE	20250813	20190617	11	9	12
MY	20260128	20190624	22	17	22
BD	20250920	20190625	7	6	8
KE	20251121	20190629	52	21	54
PE	20260209	20190702	16	12	17
CR	20250926	20190707	29	17	37
VN	20251008	20190715	44	23	49
ZM	20211102	20190716	4	3	4
ML	20210922	20190729	2	2	2
NZ	20250911	20190730	20	12	30
BY	20260204	20190730	26	18	35
TR	20260210	20190805	88	25	108
ET	20240601	20190806	9	6	10
GR	20260208	20190815	90	25	113
SE	20260206	20190817	87	25	99
IE	20260204	20190904	25	26	47
BF	20231005	20190906	6	5	6
SG	20250619	20190916	36	16	39
MO	20190919	20190919	1	1	1
PR	20241123	20190919	4	4	4
TN	20240327	20191005	12	8	14
SK	20260121	20191009	50	15	55
UY	20250809	20191010	10	8	11
BG	20260206	20191013	23	17	27
LB	20250810	20191022	5	5	6
EU	20251218	20191024	46	17	49
GA	20191105	20191027	2	1	2
MG	20231211	20191112	4	4	4
PK	20251211	20191114	13	11	13
NI	20191222	20191222	1	1	1
HR	20260130	20200123	28	10	44
CM	20250623	20200127	4	3	4
LA	20200205	20200205	1	1	1
EC	20250919	20200205	12	9	13
MA	20250813	20200211	11	9	16
MU	20230824	20200214	4	4	4
LV	20251113	20200220	10	8	11
QA	20210829	20200223	2	2	2
TT	20220304	20200228	19	9	26
AP	20240502	20200304	3	3	3
ZW	20250714	20200306	7	7	7
MZ	20230105	20200312	7	5	7
CY	20251019	20200324	7	4	7
AE	20250629	20200402	17	9	22
CU	20240307	20200408	6	32	66
PH	20260207	20200415	32	13	34
PS	20251119	20200428	8	2	9
TZ	20260127	20200429	10	7	10
MN	20250730	20200520	2	2	2
AO	20221216	20200617	2	2	2
BJ	20260207	20200618	4	4	4
GT	20240925	20200718	4	4	4
A2	20200924	20200826	3	2	3
EE	20251121	20200904	43	18	97
MT	20250821	20200915	9	8	9
NP	20260129	20201001	6	5	8
SV	20250924	20201001	4	4	4
IQ	20250923	20201004	20	9	23
OM	20201014	20201014	1	1	1
SA	20260120	20201022	11	6	11
NE	20201106	20201106	1	1	1
SI	20251105	20201117	13	5	15
MD	20251104	20201117	8	6	14
BA	20260129	20201117	2	2	2
RS	20210720	20201117	3	21	24
PY	20250808	20201118	3	3	3
LT	20251029	20201130	23	12	26
PA	20260201	20210106	15	10	16
GH	20241011	20210108	4	4	4
NR	20210421	20210421	1	1	1
CI	20251117	20210429	7	7	7
GP	20250515	20210505	4	4	4
GE	20260116	20210602	10	2	16
BH	20210720	20210720	1	1	1
BS	20210811	20210811	1	1	1
DZ	20250424	20220316	6	5	6
CW	20250811	20220331	4	4	4
SZ	20220427	20220427	1	1	1
GN	20220523	20220523	1	1	1
CG	20220620	20220620	1	1	1
MK	20251021	20220624	7	4	8
NG	20250419	20220801	2	2	2
RW	20230201	20230201	1	1	1
BB	20230404	20230226	2	2	2
IS	20260211	20230311	2	2	2
AL	20260129	20230312	3	2	6
KZ	20250326	20230408	2	2	2
RE	20240418	20231028	2	2	2
MW	20231215	20231215	1	1	1
ST	20240422	20240422	1	1	1
UG	20260210	20240923	3	3	3
SD	20250304	20250304	1	1	1
SM	20250401	20250401	1	1	1
LR	20250406	20250406	1	1	1
AZ	20250527	20250527	1	1	1
KW	20250803	20250803	1	1	1
BM	20250805	20250805	1	1	1
UZ	20250920	20250805	3	2	3
JM	20250916	20250807	2	2	2
A1	20250811	20250811	1	1	1
DO	20250912	20250912	1	1	1
MV	20251009	20251009	1	1	1
